word_id;preferred_NL;variant1;variant2;variant3;variant4;variant5;variant6;variant7
323;Justinus II;;;;;;;
324;Kerma-cultuur;;;;;;;
325;Koesjietentijd;;;;;;;
326;Napataanse Tijd;Napataanse Periode;;;;;;
327;Meroitische Tijd;Meroitische Periode;;;;;;
328;Postmeroitische Tijd;;;;;;;
329;hoogreliëf;;;;;;;
330;laagreliëf;;;;;;;
331;Akkadisch;;;;;;;
332;Demotisch;;;;;;;
333;Koptisch;;;;;;;
334;Meroïtisch;;;;;;;
335;Oudnubisch;;;;;;;
336;Demotisch;;;;;;;
337;Hiëratisch;;;;;;;
338;Koptisch;;;;;;;
339;Meroïtisch;;;;;;;
340;Oudnubisch;;;;;;;
341;Pseudo-hiëroglifisch;;;;;;;
342;wijdingstekst;;;;;;;
343;necropolisjournaal;;;;;;;
344;brief aan de levende;;;;;;;
345;brief aan de dode;;;;;;;
346;brief aan de goden;;;;;;;
347;expeditietekst;;;;;;;
348;funeraire tekst;;;;;;;
349;amdoeat;;;;;;;
350;boek van het ademen;;;;;;;
351;boek van het doorwandelen van de eeuwigheid;;;;;;;
352;dodenboek;;;;;;;
353;htp-di-nsw.t formule;Htp-di-nsw Formule;Htp-di-nsw Formula;;;;;
354;funeraire formule;;;;;;;
355;canopentekst;;;;;;;
356;oesjabtitekst;;;;;;;
357;scarabeestekst;;;;;;;
358;funerair klaaglied;;;;;;;
359;funeraire offerlijst;;;;;;;
360;funeraire rituele tekst;;;;;;;
361;libatietekst;;;;;;;
362;mondopeningsritueel;;;;;;;
363;krochtenboek;;;;;;;
364;piramideteksten;;;;;;;
365;poortenboek;;;;;;;
366;sarcofaagteksten;;;;;;;
367;lied van de harpspeler;;;;;;;
368;klaaglied;;;;;;;
369;boek van de hemelkoe;;;;;;;
370;godenannalen;;;;;;;
371;amulettekst;;;;;;;
372;oproep aan de levenden;;;;;;;
373;priesterdecreet;;;;;;;
374;Amenhotep Zoon van Hapoe;;;;;;;
375;Amon;amon;amun;amen;ammon;amoun;;
376;Amon-Min;min-amon;min-amun;min-ammon-min-amoun;;;;
377;Amon-Re;Amon-Ra;Amon-Re;Amun-Ra;Amun-Re;amen-re;amon-rê;
378;Anoebis;anubis;anoubis;anoebis;;;;
379;Asj;;;;;;;
380;Aton;aton;aten;;;;;
381;Atoem;atum;atoum;tum;toum;;;
382;Ba's van Boeto;;;;;;;
383;Ba's van Dep;;;;;;;
384;Ba's van Heliopolis;;;;;;;
385;Ba's van Hermopolis;;;;;;;
386;Ba's van het Oosten;;;;;;;
387;Ba's van het Westen;;;;;;;
388;Ba's van Hiëraconpolis;Ba's van Hieraconpolis;;;;;;
389;Ba's van Pe;;;;;;;
390;Babawy;;;;;;;
391;Behedeti;;;;;;;
392;Benoe;;;;;;;
393;Boechis;buchis;bouchis;;;;;
394;Chentechtai;khentekhtai;chentechtai;;;;;
395;Chentimentioe;khentamenti;chentamenti;khentiamentiu;chentiamentiu;chentiamentiou;khentiamentiou;khenti-imentiou
396;Cheper;kheprer;cheprer;;;;;
397;Cherti;;;;;;;
398;Chnoem;khnum;chnum;khnoum;chnoum;khnoem;chnoem;
399;Chonsoe;khonsu;khonsou;chonsu;chonsou;;;
400;Dedoen;dedun;dedoun;;;;;
401;Doea;;;;;;;
402;Doeaï;;;;;;;
403;Doeamutef;duamutef;douamoutef;;;;;
404;Doeawer;;;;;;;
405;Doenanwy;;;;;;;
406;Enneade;;;;;;;
407;Harmachis;hauron;hurun;houroun;harmakhis;harmachis;;
408;Haroëris;Haroeris;;;;;;
409;Harsiëse;Harsiese;harsiesis;harsiesi;;;;
410;Hedjoer;;;;;;;
411;Hekaïb;;;;;;;
412;Hoe;hou;hu;;;;;
413;Horachte;harachte;harakhte;;;;;
414;Horhekenoe;;;;;;;
415;Hormerti;hormerti;hormerty;;;;;
416;Horpare;;;;;;;
417;Horsemsoe;;;;;;;
418;Horus de Redder;;;;;;;
419;Horus van Edfoe;;;;;;;
420;Horus van Hiëraconpolis;Horus van Hieraconpolis;;;;;;
421;Horus van Letopolis;;;;;;;
422;Horus van Libië;Horus van Libie;;;;;;
423;Horus van Pe;;;;;;;
424;Horus-Chentechetai;;;;;;;
425;Iker;;;;;;;
426;Kebehsenoef;kebehsenuf;kebehsenuef;khebehsenouf;;;;
427;Maäti;;;;;;;
428;Mandoelis;;;;;;;
429;Mechenti-Irty;mechenti-irti;mekhenti-irti;;;;;
430;Mehenslang;;;;;;;
431;Montoe;montu;montou;montoe;;;;
432;Nehebkaoe;;;;;;;
433;Noen;nun;noun;nûn;;;;
434;Ogdoade;;;;;;;
435;Onoeris;onuris;onouris;;;;;
436;Osiris-Chentimentioe;;;;;;;
437;Re-Atoem;ra-atum;ra-atoum;ré-atoum;re-atum;;;
438;Re-Horachte;re-harakhte;ra-harakhte;re-harachte;ra-harachte;re-horakhti;re-horachti;
439;Roeti;;;;;;;
440;Sjai;shai;sjai;shay;;;;
441;Sjed;shed;sjed;;;;;
442;Sjesmoe;shesemu;shesemou;shesmu;;;;
443;Sjoe;shu;shou;sjoe;;;;
444;Somtoes;;;;;;;
